date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
8024,2,Z30,5,6,21,10,4,40.27321429,NA,NA,NA,NA,1,1,0.2,0.2
8031,37,Z30,5,6,21,10,4,38.83333333,93.33333333,NA,NA,NA,1,2,0.2,0.4
5-Aug,16,Z30,5,5,21,10,9,NA,NA,NA,NA,NA,,0,0,0
8=03,49,Z30,5,17,21,10,7,NA,NA,NA,NA,NA,,0,0,0
9=14,10,Z30,5,12,21,10,13,NA,NA,NA,NA,NA,0,0,0,0
9=14,23,Z30,5,12,21,10,13,119.6,NA,NA,NA,NA,0,1,0,0.2
9=15,9,Z30,5,12,21,10,7,56.6,NA,NA,NA,NA,1,1,0.2,0.2
9=16,1,Z30,5,13,21,10,9,NA,NA,NA,NA,NA,0,0,0,0
9=16,9,Z30,5,13,21,10,9,92.85185185,NA,NA,NA,NA,0,1,0,0.2
9=18,1,Z30,5,12,21,10,7,95,NA,NA,NA,NA,0,1,0,0.2
,,,,,,,,,,,,,3,7,0.06,0.14
,,,,,sumsq,,,,,,,,,,0.12,0.36
8024,4,Z30,5,6,26,10,4,65.91964286,109.4196429,111.4196429,NA,NA,,3,0,0.6
8031,39,Z30,5,6,26,10,4,78.33333333,NA,NA,NA,NA,,1,0,0.2
5-Aug,18,Z30,5,5,26,10,9,87.69067797,119.190678,NA,NA,NA,,2,0,0.4
8=03,51,Z30,5,17,26,9,3,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,6,0,0.3
,,,,,sumsq,,,,,,,,,,0,0.56
8024,5,Z30,5,6,28,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,40,Z30,5,6,28,9,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,19,Z30,5,5,28,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,6,Z30,5,6,31,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,41,Z30,5,6,31,10,4,78.46666667,NA,NA,NA,NA,,1,0,0.2
5-Aug,20,Z30,5,5,31,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,7,Z30,5,6,32,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,42,Z30,5,6,32,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,21,Z30,5,5,32,10,9,45.77824859,NA,NA,NA,NA,1,1,0.2,0.2
,,,,,,,,,,,,,1,1,0.066666667,0.066666667
,,,,,,,,,,,,,,,0.04,0.04
8024,8,Z30,5,6,38,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,43,Z30,5,6,38,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,22,Z30,5,5,38,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,9,Z30,5,6,40,10,4,74.53571429,NA,NA,NA,NA,,1,0,0.2
8031,44,Z30,5,6,40,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,23,Z30,5,5,40,10,9,NA,NA,NA,NA,NA,,0,0,0
9=16,8,Z30,5,13,40,10,4,NA,NA,NA,NA,NA,0,0,0,0
9=18,4,Z30,5,12,40,10,6,NA,NA,NA,NA,NA,0,0,0,0
,,,,,,,,,,,,,0,1,0,0.04
,,,,,sumsq,,,,,,,,,,0,0.04
8024,10,Z30,5,6,41,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,45,Z30,5,6,41,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,24,Z30,5,5,41,10,9,105.6658192,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,11,Z30,5,6,42,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,46,Z30,5,6,42,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,25,Z30,5,5,42,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,12,Z30,5,6,45,10,4,NA,NA,NA,NA,NA,,0,0,0
8031,47,Z30,5,6,45,10,4,NA,NA,NA,NA,NA,,0,0,0
5-Aug,26,Z30,5,5,45,10,9,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,13,Z30,5,6,48,10,4,59.01190476,NA,NA,NA,NA,1,1,0.2,0.2
8031,48,Z30,5,6,48,10,4,96.66666667,NA,NA,NA,NA,,1,0,0.2
