DGRP_100,12.25,1.017,0.813,7.480,0.880,0.723,0.64,0.20
DGRP_101,12.25,0.978,0.859,8.318,0.867,0.769,0.96,0.64
DGRP_105,10.45,0.970,0.819,7.066,0.830,0.721,0.40,0.84
DGRP_109,11.90,1.014,0.839,7.576,0.901,0.758,0.72,0.48
DGRP_129,10.16,0.925,0.797,6.788,0.835,0.748,0.56,0.40
DGRP_136,13.07,1.030,0.821,8.646,0.876,0.720,0.26,0.94
DGRP_138,10.65,0.996,0.797,6.570,0.841,0.719,0.84,0.76
DGRP_142,12.66,1.001,0.851,7.878,0.875,0.755,0.88,0.60
DGRP_149,11.40,0.996,0.839,7.498,0.924,0.795,1.00,0.84
DGRP_153,12.63,1.045,0.861,8.248,0.906,0.765,0.87,0.67
DGRP_158,11.45,0.993,0.833,8.388,0.885,0.754,0.32,0.12
DGRP_161,10.06,0.972,0.812,6.725,0.842,0.708,0.92,0.24
DGRP_176,11.29,0.894,0.756,6.913,0.769,0.679,0.36,0.64
DGRP_177,10.90,0.977,0.810,6.367,0.854,0.731,0.76,0.48
DGRP_181,10.30,0.952,0.777,6.730,0.803,0.681,0.40,0.32
DGRP_189,10.32,,,6.250,,,0.88,0.20
DGRP_195,11.57,0.997,0.797,7.903,0.871,0.712,0.96,0.46
DGRP_208,11.39,1.017,0.833,7.480,0.871,0.736,0.86,0.96
DGRP_21,11.20,0.994,0.820,7.164,0.841,0.697,0.90,0.28
DGRP_217,10.10,1.004,0.777,6.580,0.859,0.685,0.84,0.64
DGRP_223,11.64,1.024,0.856,7.762,0.888,0.768,0.92,0.00
DGRP_227,12.29,0.949,0.795,8.398,0.837,0.705,0.88,0.92
DGRP_228,11.02,1.009,0.828,7.145,0.877,0.735,0.96,0.07
DGRP_229,10.79,,,7.124,,,0.64,0.60
DGRP_233,10.72,0.948,0.802,7.408,0.831,0.719,0.92,0.52
DGRP_235,12.16,0.964,0.806,8.056,0.855,0.731,0.80,0.44
DGRP_237,11.31,0.969,0.793,8.108,0.823,0.694,0.92,0.28
DGRP_239,10.51,1.027,0.828,7.402,0.868,0.736,0.12,0.64
DGRP_256,10.48,0.990,0.800,6.953,0.852,0.709,0.72,0.42
DGRP_26,11.12,0.992,0.837,6.630,0.833,0.723,0.84,0.20
DGRP_28,11.54,1.039,0.865,7.678,0.916,0.782,0.52,0.48
DGRP_280,12.14,1.010,0.838,7.552,0.884,0.763,0.44,0.44
DGRP_287,8.73,0.954,0.801,6.313,0.841,0.735,0.92,0.24
DGRP_301,11.90,1.019,0.850,7.838,0.872,0.748,0.36,0.67
DGRP_303,10.37,0.976,0.808,6.794,0.842,0.716,0.84,0.78
DGRP_304,11.75,1.028,0.857,7.870,0.916,0.777,0.70,0.44
DGRP_306,11.88,1.010,0.831,8.432,0.887,0.760,0.60,0.61
DGRP_309,12.10,0.983,0.819,7.678,0.849,0.732,0.56,0.36
DGRP_31,13.21,0.986,0.834,8.594,0.860,0.746,0.96,0.40
DGRP_310,10.07,0.990,0.855,6.892,0.863,0.766,1.00,0.80
DGRP_313,9.62,0.928,0.775,6.110,0.828,0.714,0.41,0.24
DGRP_315,11.08,0.995,0.827,8.334,0.876,0.745,0.27,0.68
DGRP_317,10.66,0.963,0.795,6.764,0.832,0.712,0.96,0.36
DGRP_318,10.50,1.003,0.810,7.093,0.841,0.700,0.96,0.24
DGRP_319,11.28,0.996,0.827,7.075,0.863,0.725,1.00,0.40
DGRP_32,11.30,0.996,0.830,6.725,0.855,0.735,0.88,0.52
DGRP_320,11.30,1.001,0.813,7.342,0.904,0.758,0.72,0.73
DGRP_321,10.30,1.027,0.823,7.593,0.898,0.752,0.04,0.88
