DGRP_101,20.64,21.44,0.96,0.64
DGRP_105,17.19,15.00,0.40,0.84
DGRP_109,14.94,16.18,0.72,0.48
DGRP_129,19.55,20.29,0.56,0.40
DGRP_136,16.62,17.72,0.26,0.94
DGRP_138,18.40,18.65,0.84,0.76
DGRP_142,11.77,12.55,0.88,0.60
DGRP_149,17.08,15.24,1.00,0.84
DGRP_153,15.26,17.97,0.87,0.67
DGRP_158,11.95,11.35,0.32,0.12
DGRP_161,26.80,26.45,0.92,0.24
DGRP_176,29.20,29.44,0.36,0.64
DGRP_177,24.80,20.85,0.76,0.48
DGRP_181,26.53,24.79,0.40,0.32
DGRP_189,22.73,18.99,0.88,0.20
DGRP_195,13.91,14.57,0.96,0.46
DGRP_208,14.60,15.79,0.86,0.96
DGRP_21,18.99,18.99,0.90,0.28
DGRP_217,13.68,12.60,0.84,0.64
DGRP_223,20.72,15.89,0.92,0.00
DGRP_227,17.10,17.09,0.88,0.92
DGRP_228,12.44,14.54,0.96,0.07
DGRP_229,13.67,15.18,0.64,0.60
DGRP_233,11.80,15.80,0.92,0.52
DGRP_235,21.36,18.94,0.80,0.44
DGRP_237,16.12,19.16,0.92,0.28
DGRP_239,26.85,20.26,0.12,0.64
DGRP_256,17.08,19.11,0.72,0.42
DGRP_26,15.72,17.52,0.84,0.20
DGRP_28,15.99,17.16,0.52,0.48
DGRP_280,14.52,14.80,0.44,0.44
DGRP_287,12.88,15.40,0.92,0.24
DGRP_301,15.48,14.83,0.36,0.67
DGRP_303,18.64,14.75,0.84,0.78
DGRP_304,15.01,14.72,0.70,0.44
DGRP_306,14.94,17.94,0.60,0.61
DGRP_307,12.83,11.58,0.36,0.52
DGRP_309,9.87,10.78,0.56,0.36
DGRP_310,19.22,15.99,1.00,0.80
DGRP_313,24.96,25.48,0.41,0.24
DGRP_315,13.97,14.27,0.27,0.68
DGRP_318,17.14,16.40,0.96,0.24
DGRP_319,13.52,15.72,1.00,0.40
DGRP_324,18.52,20.48,0.94,0.80
DGRP_325,14.93,14.56,0.68,0.28
DGRP_332,14.21,15.60,0.90,0.40
DGRP_335,15.05,18.36,0.74,0.56
DGRP_336,22.64,15.53,0.76,0.44
DGRP_338,11.16,13.04,0.52,0.20
DGRP_340,8.54,10.05,0.92,0.40
DGRP_350,12.99,12.53,0.56,0.52
DGRP_352,11.86,12.07,0.84,0.72
DGRP_356,8.58,9.51,0.64,0.52
DGRP_357,13.90,15.00,0.64,0.60
DGRP_358,11.87,12.93,0.42,0.78
DGRP_359,13.02,13.29,0.92,0.60
DGRP_360,9.26,9.04,0.60,0.90
DGRP_361,16.31,13.73,0.60,0.56
DGRP_362,14.56,17.31,0.96,0.67
DGRP_365,11.44,11.62,0.57,0.46
DGRP_367,12.31,14.64,0.80,0.40
DGRP_370,17.17,15.79,0.96,0.60
DGRP_371,14.78,15.41,0.84,0.68
DGRP_373,13.68,14.01,0.92,0.20
DGRP_374,15.60,16.36,0.58,0.64
DGRP_375,13.83,13.13,0.70,0.84
DGRP_377,25.37,33.22,0.72,0.52
DGRP_379,14.73,14.71,0.46,0.44
DGRP_38,16.18,20.51,0.96,0.68
DGRP_380,13.99,11.99,0.32,0.70
DGRP_381,15.81,16.77,0.40,0.28
DGRP_382,12.76,13.75,0.96,0.24
DGRP_383,13.62,13.18,0.96,0.72
DGRP_385,13.50,17.18,1.00,0.80
DGRP_386,13.95,14.65,0.96,0.04
DGRP_391,12.74,13.98,0.82,0.86
DGRP_392,18.62,19.54,0.72,0.44
DGRP_399,15.83,14.58,0.58,0.86
DGRP_409,12.41,16.51,0.88,0.40
DGRP_41,35.66,33.97,0.56,0.52
DGRP_42,29.07,29.40,0.68,0.64
DGRP_426,11.75,12.46,0.52,0.40
DGRP_427,9.55,11.58,0.78,0.72
DGRP_437,19.04,23.93,0.60,0.58
DGRP_440,10.56,12.65,1.00,0.64
DGRP_441,10.21,11.22,1.00,0.25
DGRP_443,12.63,13.20,0.92,0.48
DGRP_45,14.26,13.96,0.20,0.20
DGRP_461,17.00,12.65,0.64,0.36
DGRP_486,12.19,11.42,0.59,0.76
DGRP_49,14.80,16.26,1.00,0.60
DGRP_491,11.93,11.50,0.52,0.52
DGRP_492,10.28,10.77,0.96,0.80
DGRP_502,11.82,12.65,0.67,0.16
DGRP_508,29.21,23.57,0.24,0.44
DGRP_509,22.46,16.09,0.56,1.00
DGRP_517,18.86,14.04,0.55,0.62
DGRP_531,16.56,17.26,0.44,0.60
DGRP_535,11.87,12.21,0.92,0.24
DGRP_555,8.79,10.35,0.76,0.44
DGRP_563,11.20,12.28,0.90,0.76
DGRP_57,24.60,24.12,1.00,1.00
DGRP_584,12.69,13.59,0.80,0.12
DGRP_589,23.72,22.05,0.96,0.12
DGRP_59,13.70,18.93,0.76,0.40
DGRP_595,12.35,13.89,0.88,0.68
