DGRP_100,0.223,0.323,0.64
DGRP_101,0.148,0.045,0.96
DGRP_105,0.214,0.051,0.40
DGRP_109,0.276,0.040,0.72
DGRP_129,0.252,0.016,0.56
DGRP_136,0.147,0.337,0.26
DGRP_138,0.334,0.039,0.84
DGRP_142,0.353,0.033,0.88
DGRP_149,0.335,0.029,1.00
DGRP_153,0.294,0.039,0.87
DGRP_158,0.341,0.043,0.32
DGRP_161,0.363,0.028,0.92
DGRP_176,0.325,0.039,0.36
DGRP_177,0.316,0.020,0.76
DGRP_181,0.274,0.041,0.40
DGRP_189,0.303,0.066,0.88
DGRP_195,0.317,0.034,0.96
DGRP_208,0.233,0.039,0.86
DGRP_21,0.310,0.034,0.90
DGRP_217,0.230,0.058,0.84
DGRP_223,0.303,0.015,0.92
DGRP_227,0.219,0.037,0.88
DGRP_228,0.373,0.035,0.96
DGRP_229,0.347,0.032,0.64
DGRP_233,0.261,0.045,0.92
DGRP_235,0.103,0.222,0.80
DGRP_237,0.242,0.041,0.92
DGRP_239,0.389,0.026,0.12
DGRP_256,0.357,0.024,0.72
DGRP_26,0.293,0.047,0.84
DGRP_28,0.213,0.060,0.52
DGRP_280,0.315,0.025,0.44
DGRP_287,0.387,0.034,0.92
DGRP_301,0.203,0.049,0.36
DGRP_303,0.227,0.033,0.84
DGRP_304,0.283,0.052,0.70
DGRP_306,0.263,0.050,0.60
DGRP_307,0.300,0.037,0.36
DGRP_309,0.191,0.178,0.56
DGRP_31,0.237,0.187,0.96
DGRP_310,0.312,0.021,1.00
DGRP_313,0.282,0.052,0.41
DGRP_315,0.408,0.044,0.27
DGRP_318,0.379,0.043,0.96
DGRP_320,0.264,0.041,0.72
DGRP_321,0.258,0.058,0.04
DGRP_324,0.276,0.040,0.94
DGRP_332,0.257,0.055,0.90
DGRP_335,0.345,0.027,0.74
DGRP_336,0.300,0.051,0.76
DGRP_338,0.237,0.047,0.52
DGRP_340,0.298,0.032,0.92
DGRP_350,0.252,0.050,0.56
DGRP_352,0.265,0.049,0.84
DGRP_356,0.307,0.047,0.64
DGRP_357,0.212,0.053,0.64
DGRP_358,0.248,0.058,0.42
DGRP_359,0.284,0.058,0.92
DGRP_360,0.222,0.055,0.60
DGRP_361,0.273,0.051,0.60
DGRP_362,0.254,0.058,0.96
DGRP_365,0.335,0.026,0.57
DGRP_367,0.126,0.368,0.80
DGRP_370,0.281,0.057,0.96
DGRP_371,0.267,0.055,0.84
DGRP_373,0.363,0.029,0.92
DGRP_374,0.326,0.036,0.58
DGRP_375,0.260,0.049,0.70
DGRP_377,0.279,0.048,0.72
DGRP_379,0.365,0.032,0.46
DGRP_38,0.194,0.249,0.96
DGRP_380,0.322,0.034,0.32
DGRP_381,0.328,0.047,0.40
DGRP_382,0.354,0.034,0.96
DGRP_383,0.249,0.055,0.96
DGRP_385,0.252,0.046,1.00
DGRP_386,0.269,0.066,0.96
DGRP_391,0.211,0.047,0.82
DGRP_392,0.309,0.039,0.72
DGRP_399,0.208,0.046,0.58
DGRP_40,0.176,0.048,0.76
DGRP_405,0.195,0.049,0.84
DGRP_406,0.204,0.071,0.84
DGRP_409,0.293,0.051,0.88
DGRP_41,0.350,0.025,0.56
DGRP_42,0.418,0.028,0.68
DGRP_426,0.279,0.049,0.52
DGRP_427,0.238,0.037,0.78
DGRP_437,0.261,0.040,0.60
DGRP_439,0.307,0.040,0.48
DGRP_440,0.200,0.140,1.00
DGRP_441,0.239,0.040,1.00
DGRP_443,0.279,0.044,0.92
DGRP_45,0.297,0.041,0.20
DGRP_48,0.191,0.250,0.76
DGRP_486,0.181,0.037,0.59
DGRP_49,0.286,0.045,1.00
DGRP_491,0.276,0.039,0.52
DGRP_502,0.265,0.030,0.67
DGRP_508,0.324,0.039,0.24
DGRP_509,0.178,0.275,0.56
DGRP_517,0.390,0.040,0.55
DGRP_530,0.397,0.032,0.96
DGRP_531,0.286,0.040,0.44
DGRP_535,0.252,0.050,0.92
DGRP_551,0.266,0.043,0.96
DGRP_555,0.193,0.034,0.76
DGRP_559,0.235,0.105,0.80
DGRP_563,0.199,0.056,0.90
DGRP_57,0.346,0.024,1.00
DGRP_584,0.201,0.054,0.80
DGRP_589,0.274,0.048,0.96
DGRP_59,0.273,0.042,0.76
DGRP_595,0.218,0.063,0.88
DGRP_639,0.249,0.040,0.47
DGRP_642,0.237,0.041,0.68
DGRP_646,0.173,0.246,0.08
DGRP_69,0.265,0.040,0.50
DGRP_703,0.189,0.057,0.68
DGRP_705,0.343,0.023,0.32
DGRP_707,0.315,0.036,0.24
DGRP_712,0.259,0.045,0.60
DGRP_714,0.316,0.036,0.71
DGRP_716,0.249,0.044,0.88
DGRP_721,0.324,0.030,0.16
DGRP_727,0.301,0.026,0.96
DGRP_73,0.356,0.045,0.92
DGRP_730,0.232,0.041,0.94
DGRP_732,0.193,0.173,0.66
DGRP_737,0.289,0.040,0.84
DGRP_738,0.320,0.052,0.96
DGRP_748,0.188,0.046,0.68
DGRP_75,0.352,0.041,0.80
DGRP_761,0.195,0.054,0.44
DGRP_765,0.244,0.030,0.60
DGRP_774,0.209,0.039,0.86
DGRP_776,0.167,0.090,0.80
DGRP_783,0.052,0.017,1.00
DGRP_786,0.250,0.040,0.69
DGRP_787,0.272,0.045,0.44
DGRP_790,0.152,0.037,0.60
