DGRP_100,0.371,0.028,0.124,0.002,0.707,0.20
DGRP_101,0.345,0.019,0.174,0.003,0.638,0.64
DGRP_105,0.271,0.033,0.208,0.005,0.524,0.84
DGRP_109,0.416,0.021,0.072,0.002,0.815,0.48
DGRP_129,0.353,0.024,0.056,0.001,0.813,0.40
DGRP_136,0.220,0.024,0.273,0.004,0.422,0.94
DGRP_138,0.361,0.014,0.096,0.002,0.764,0.76
DGRP_142,0.401,0.029,0.059,0.001,0.818,0.60
DGRP_149,0.312,0.018,0.095,0.002,0.730,0.84
DGRP_153,0.296,0.022,0.067,0.002,0.766,0.67
DGRP_158,0.279,0.016,0.220,0.006,0.536,0.12
DGRP_161,0.362,0.018,0.158,0.005,0.667,0.24
DGRP_176,0.348,0.026,0.168,0.004,0.637,0.64
DGRP_177,0.361,0.012,0.045,0.001,0.863,0.48
DGRP_181,0.427,0.016,0.029,0.001,0.903,0.32
DGRP_189,0.153,0.012,0.349,0.005,0.295,0.20
DGRP_195,0.403,0.023,0.125,0.001,0.730,0.46
DGRP_208,0.392,0.022,0.061,0.002,0.822,0.96
DGRP_21,0.509,0.019,0.043,0.001,0.890,0.28
DGRP_217,0.467,0.020,0.060,0.001,0.852,0.64
DGRP_223,0.513,0.026,0.095,0.002,0.807,0.00
DGRP_227,0.419,0.026,0.106,0.002,0.757,0.92
DGRP_228,0.386,0.024,0.133,0.005,0.704,0.07
DGRP_229,0.449,0.024,0.071,0.002,0.824,0.60
DGRP_233,0.212,0.016,0.239,0.009,0.445,0.52
DGRP_235,0.255,0.019,0.160,0.003,0.583,0.44
DGRP_237,0.283,0.022,0.256,0.009,0.496,0.28
DGRP_239,0.489,0.025,0.082,0.002,0.817,0.64
DGRP_256,0.425,0.019,0.035,0.001,0.885,0.42
DGRP_26,0.386,0.016,0.032,0.001,0.888,0.20
DGRP_28,0.422,0.020,0.095,0.002,0.784,0.48
DGRP_280,0.413,0.034,0.098,0.003,0.754,0.44
DGRP_287,0.277,0.020,0.141,0.004,0.627,0.24
DGRP_301,0.269,0.030,0.181,0.003,0.557,0.67
DGRP_303,0.249,0.013,0.012,0.000,0.909,0.78
DGRP_304,0.181,0.016,0.282,0.003,0.375,0.44
DGRP_306,0.377,0.021,0.126,0.002,0.717,0.61
DGRP_307,0.475,0.017,0.064,0.001,0.853,0.52
DGRP_309,0.425,0.028,0.038,0.001,0.864,0.36
DGRP_31,0.291,0.030,0.164,0.004,0.596,0.40
DGRP_310,0.310,0.020,0.043,0.001,0.829,0.80
DGRP_313,0.057,0.012,0.424,0.009,0.113,0.24
DGRP_315,0.121,0.015,0.365,0.008,0.238,0.68
DGRP_318,0.232,0.021,0.211,0.006,0.493,0.24
DGRP_320,0.475,0.014,0.055,0.001,0.872,0.73
DGRP_321,0.088,0.018,0.385,0.010,0.175,0.88
DGRP_324,0.385,0.024,0.086,0.002,0.776,0.80
DGRP_332,0.194,0.013,0.220,0.006,0.447,0.40
DGRP_335,0.544,0.019,0.030,0.001,0.916,0.56
DGRP_336,0.450,0.020,0.136,0.002,0.740,0.44
DGRP_367,0.167,0.088,0.235,0.026,0.323,0.40
DGRP_370,0.316,0.022,0.138,0.002,0.659,0.60
DGRP_371,0.184,0.017,0.263,0.008,0.391,0.68
DGRP_373,0.511,0.018,0.066,0.001,0.858,0.20
DGRP_374,0.437,0.024,0.051,0.001,0.850,0.64
DGRP_375,0.214,0.016,0.139,0.004,0.574,0.84
DGRP_377,0.188,0.022,0.339,0.011,0.336,0.52
DGRP_379,0.561,0.023,0.026,0.001,0.919,0.44
DGRP_38,0.267,0.031,0.186,0.003,0.548,0.68
DGRP_380,0.306,0.021,0.222,0.002,0.555,0.70
DGRP_381,0.370,0.019,0.110,0.002,0.739,0.28
DGRP_382,0.438,0.015,0.080,0.001,0.819,0.24
DGRP_383,0.158,0.017,0.342,0.009,0.300,0.72
DGRP_385,0.346,0.021,0.151,0.004,0.663,0.80
DGRP_386,0.071,0.011,0.439,0.012,0.132,0.04
