DGRP_101,600.05,366.60,12.64,23.15,60.62,16.64,1.88,0.64
DGRP_105,535.88,436.81,16.28,22.44,41.26,24.39,1.54,0.84
DGRP_109,462.49,311.47,13.50,17.49,42.15,20.35,1.63,0.48
DGRP_129,604.78,494.66,11.36,20.18,69.37,30.99,1.86,0.40
DGRP_136,615.34,437.96,4.45,16.74,206.70,24.08,1.52,0.94
DGRP_138,659.03,481.83,6.71,19.84,192.11,29.35,1.16,0.76
DGRP_142,531.08,286.72,17.16,20.53,58.04,6.50,1.35,0.60
DGRP_149,578.44,199.02,9.85,18.01,99.62,3.01,1.36,0.84
DGRP_153,439.00,307.14,8.17,17.05,105.58,18.19,1.92,0.67
DGRP_158,668.13,397.84,5.32,20.42,224.18,27.74,1.33,0.12
DGRP_161,587.95,239.47,5.30,13.48,240.89,27.99,1.39,0.24
DGRP_176,377.89,192.76,14.44,14.85,48.47,10.54,1.44,0.64
DGRP_177,429.87,294.18,15.21,13.19,33.48,28.66,1.82,0.48
DGRP_181,604.19,430.59,5.89,20.92,216.85,16.05,1.34,0.32
DGRP_195,666.56,526.18,8.64,14.85,137.42,49.77,2.07,0.46
DGRP_208,316.87,401.93,17.73,16.90,19.30,25.88,2.48,0.96
DGRP_21,603.58,458.46,11.49,28.94,76.17,9.73,1.29,0.28
DGRP_217,637.93,487.09,9.67,23.24,98.42,22.80,1.55,0.64
DGRP_227,611.10,345.36,10.48,20.67,89.27,10.83,1.47,0.92
DGRP_228,648.63,459.85,8.90,21.09,188.18,25.05,1.07,0.07
DGRP_229,532.45,209.20,11.14,17.67,88.13,33.31,1.25,0.60
DGRP_233,632.12,434.31,10.31,28.50,95.80,16.64,1.45,0.52
DGRP_235,674.81,568.61,10.79,20.00,144.71,34.18,1.46,0.44
DGRP_237,592.20,561.03,8.77,14.72,92.06,47.29,1.75,0.28
DGRP_239,635.30,564.43,11.72,18.70,74.66,35.67,1.64,0.64
DGRP_256,594.89,397.64,13.54,17.83,60.05,25.40,1.45,0.42
DGRP_26,567.97,487.86,10.91,23.01,87.62,31.31,1.53,0.20
