DGRP_101,587.82,257.23,12.08,18.62,74.43,14.01,1.76,0.96
DGRP_105,543.34,364.09,16.15,18.07,53.81,24.21,1.30,0.40
DGRP_109,342.93,160.07,12.72,14.08,30.97,11.54,1.31,0.72
DGRP_129,624.32,359.26,10.55,24.57,81.09,15.05,1.15,0.56
DGRP_136,662.90,412.66,6.93,23.24,134.55,19.44,1.39,0.26
DGRP_138,657.50,411.61,7.18,23.50,239.98,23.61,1.11,0.84
DGRP_142,521.85,195.77,16.80,14.45,48.58,14.18,1.31,0.88
DGRP_149,517.80,197.59,10.49,17.53,95.82,13.67,1.28,1.00
DGRP_153,501.01,207.24,9.05,17.69,158.91,12.20,1.52,0.87
DGRP_158,666.68,417.42,6.19,28.14,220.32,16.64,1.29,0.32
DGRP_161,509.88,137.70,8.44,9.94,144.05,20.82,1.21,0.92
DGRP_176,443.16,307.14,12.69,26.62,57.35,12.01,1.27,0.36
DGRP_177,336.59,106.92,13.04,7.48,29.08,16.44,1.62,0.76
DGRP_181,610.46,329.88,9.84,19.70,113.43,19.94,1.05,0.40
DGRP_195,580.98,339.48,19.63,22.51,53.97,15.61,1.44,0.96
DGRP_208,497.67,299.91,15.29,15.22,44.95,21.58,1.77,0.86
DGRP_21,603.92,489.26,11.01,28.16,78.41,22.21,1.23,0.90
DGRP_217,594.86,357.02,11.26,27.28,122.32,15.25,1.19,0.84
DGRP_227,641.74,189.55,9.73,18.57,161.89,10.59,1.45,0.88
DGRP_228,637.28,253.08,14.26,20.15,107.69,12.43,1.11,0.96
DGRP_229,413.46,160.03,15.81,17.38,33.46,10.51,1.25,0.64
DGRP_233,653.92,317.46,10.08,30.45,119.95,10.66,1.31,0.92
DGRP_235,687.93,469.78,8.11,28.44,189.62,20.76,1.18,0.80
DGRP_237,601.74,410.65,5.96,19.83,165.11,25.59,1.47,0.92
DGRP_239,584.07,393.08,13.96,21.33,57.53,19.92,1.40,0.12
DGRP_256,647.91,374.46,7.74,14.85,164.05,33.77,1.55,0.72
DGRP_26,595.39,408.28,9.30,26.78,95.45,16.03,1.25,0.84
DGRP_28,503.15,281.63,14.54,19.08,57.68,19.68,1.29,0.52
DGRP_280,488.26,217.09,11.41,19.88,81.90,11.14,1.50,0.44
DGRP_287,643.99,258.30,4.25,17.73,251.87,16.28,0.87,0.92
DGRP_301,506.55,184.98,13.28,13.09,51.86,19.08,1.80,0.36
DGRP_303,460.01,180.46,10.29,15.58,91.23,36.04,1.46,0.84
DGRP_304,529.89,292.06,9.89,15.01,93.21,24.42,1.50,0.70
DGRP_306,590.61,317.13,8.15,18.97,114.12,18.15,1.40,0.60
DGRP_307,597.66,398.60,14.41,22.79,78.95,19.09,1.50,0.36
DGRP_309,469.10,205.81,10.46,22.03,74.30,9.18,1.38,0.56
DGRP_310,316.00,241.64,21.42,22.17,16.40,11.17,1.22,1.00
DGRP_313,688.71,176.88,7.34,13.33,279.47,14.25,1.71,0.41
DGRP_315,504.45,468.99,15.73,17.39,49.34,32.82,1.62,0.27
DGRP_317,622.96,241.47,8.83,18.13,116.08,14.94,1.20,0.96
DGRP_318,623.77,479.71,8.60,29.68,166.26,18.18,1.03,0.96
DGRP_320,579.34,312.32,10.03,22.81,88.74,14.21,1.04,0.72
DGRP_321,565.71,198.49,12.88,12.68,72.66,17.41,1.08,0.04
DGRP_324,628.66,340.92,12.38,18.87,123.90,21.32,1.49,0.94
DGRP_325,474.98,155.92,13.09,14.91,82.77,11.31,1.37,0.68
DGRP_332,583.68,283.20,8.62,20.64,113.94,14.28,1.43,0.90
DGRP_335,675.08,639.82,7.37,18.28,184.26,50.83,2.48,0.74
DGRP_338,678.09,399.72,4.15,14.98,360.25,35.89,1.58,0.52
DGRP_350,591.24,465.99,9.15,22.99,101.75,22.92,1.42,0.56
DGRP_352,545.67,265.85,17.10,17.18,48.25,17.03,1.35,0.84
DGRP_356,496.41,267.00,15.27,17.89,58.23,15.62,1.24,0.64
DGRP_357,550.58,118.18,11.20,10.36,114.34,15.15,1.76,0.64
DGRP_358,645.82,360.05,8.08,18.01,191.41,26.28,1.42,0.42
DGRP_359,669.14,254.10,6.89,20.60,244.36,11.91,1.34,0.92
DGRP_360,614.72,414.17,8.07,21.69,130.53,22.23,1.56,0.60
DGRP_362,549.41,463.10,12.13,15.17,65.50,34.72,1.12,0.96
