DGRP_100,27.75,25.28,0.64,0.20
DGRP_101,35.28,33.20,0.96,0.64
DGRP_105,32.98,28.80,0.40,0.84
DGRP_109,25.13,21.30,0.72,0.48
DGRP_129,29.63,31.59,0.56,0.40
DGRP_136,32.18,35.70,0.26,0.94
DGRP_138,29.95,27.35,0.84,0.76
DGRP_142,36.83,38.15,0.88,0.60
DGRP_149,36.76,35.85,1.00,0.84
DGRP_153,33.55,25.48,0.87,0.67
DGRP_158,32.15,31.65,0.32,0.12
DGRP_161,39.30,34.33,0.92,0.24
DGRP_176,26.40,28.28,0.36,0.64
DGRP_177,19.45,19.10,0.76,0.48
DGRP_181,27.75,28.95,0.40,0.32
DGRP_189,28.38,26.33,0.88,0.20
DGRP_195,25.58,26.88,0.96,0.46
DGRP_208,20.95,22.48,0.86,0.96
DGRP_21,35.85,34.58,0.90,0.28
DGRP_217,32.13,30.78,0.84,0.64
DGRP_223,23.18,24.03,0.92,0.00
DGRP_227,29.03,27.58,0.88,0.92
DGRP_228,31.70,27.83,0.96,0.07
DGRP_229,28.60,28.28,0.64,0.60
DGRP_233,25.63,26.30,0.92,0.52
DGRP_235,25.75,25.30,0.80,0.44
DGRP_237,32.93,31.40,0.92,0.28
DGRP_239,33.20,32.48,0.12,0.64
DGRP_256,28.33,27.28,0.72,0.42
DGRP_26,33.63,29.70,0.84,0.20
DGRP_28,33.38,34.36,0.52,0.48
DGRP_280,27.43,29.63,0.44,0.44
DGRP_287,32.93,34.93,0.92,0.24
DGRP_301,39.53,38.49,0.36,0.67
DGRP_303,33.33,33.65,0.84,0.78
DGRP_304,17.53,18.78,0.70,0.44
DGRP_306,26.15,26.73,0.60,0.61
DGRP_307,32.28,27.00,0.36,0.52
DGRP_309,27.55,32.10,0.56,0.36
DGRP_31,31.38,29.72,0.96,0.40
DGRP_310,24.05,23.15,1.00,0.80
DGRP_313,37.65,41.40,0.41,0.24
DGRP_315,35.53,35.38,0.27,0.68
DGRP_317,31.80,31.68,0.96,0.36
DGRP_318,38.50,36.18,0.96,0.24
DGRP_319,22.53,25.05,1.00,0.40
DGRP_32,30.35,28.48,0.88,0.52
DGRP_320,14.83,15.45,0.72,0.73
DGRP_321,32.83,31.93,0.04,0.88
DGRP_324,38.85,38.78,0.94,0.80
DGRP_325,28.30,27.48,0.68,0.28
DGRP_332,31.13,31.63,0.90,0.40
DGRP_335,33.31,36.45,0.74,0.56
DGRP_336,29.10,32.83,0.76,0.44
DGRP_338,30.78,29.95,0.52,0.20
DGRP_340,14.13,13.38,0.92,0.40
DGRP_348,28.33,26.38,0.12,0.60
DGRP_350,39.85,40.73,0.56,0.52
DGRP_352,17.28,16.05,0.84,0.72
DGRP_354,29.15,29.25,0.80,0.04
DGRP_355,34.85,33.03,0.92,0.56
DGRP_356,30.28,28.90,0.64,0.52
DGRP_357,37.95,37.83,0.64,0.60
DGRP_358,39.25,39.23,0.42,0.78
DGRP_359,26.05,25.18,0.92,0.60
DGRP_360,28.90,25.95,0.60,0.90
DGRP_361,26.65,27.93,0.60,0.56
DGRP_362,37.00,33.70,0.96,0.67
DGRP_365,22.53,21.63,0.57,0.46
DGRP_367,22.65,23.75,0.80,0.40
DGRP_370,23.43,24.77,0.96,0.60
DGRP_371,29.65,29.83,0.84,0.68
DGRP_373,23.08,22.88,0.92,0.20
DGRP_374,33.93,31.70,0.58,0.64
DGRP_375,27.40,28.28,0.70,0.84
DGRP_377,37.66,37.31,0.72,0.52
DGRP_379,20.33,20.30,0.46,0.44
DGRP_38,29.85,31.70,0.96,0.68
DGRP_380,25.50,21.75,0.32,0.70
DGRP_381,21.85,24.08,0.40,0.28
DGRP_382,21.93,25.35,0.96,0.24
DGRP_383,28.55,28.00,0.96,0.72
DGRP_385,24.75,24.13,1.00,0.80
DGRP_386,32.25,31.48,0.96,0.04
DGRP_390,26.94,27.23,0.92,0.00
DGRP_391,27.18,27.73,0.82,0.86
DGRP_392,22.18,21.13,0.72,0.44
DGRP_395,27.73,26.58,0.76,0.88
DGRP_397,29.65,28.31,0.80,0.04
DGRP_399,36.85,38.40,0.58,0.86
DGRP_40,29.63,30.30,0.76,0.88
DGRP_405,16.15,17.75,0.84,0.88
DGRP_406,23.95,23.80,0.84,0.12
DGRP_409,20.05,19.44,0.88,0.40
DGRP_41,35.90,35.58,0.56,0.52
DGRP_42,16.58,16.64,0.68,0.64
DGRP_426,26.55,28.95,0.52,0.40
DGRP_427,25.68,26.33,0.78,0.72
DGRP_437,27.63,27.25,0.60,0.58
DGRP_439,35.68,34.80,0.48,0.68
DGRP_440,24.43,25.53,1.00,0.64
DGRP_441,29.30,28.95,1.00,0.25
DGRP_443,34.85,34.45,0.92,0.48
DGRP_45,33.75,33.80,0.20,0.20
DGRP_461,19.98,19.25,0.64,0.36
DGRP_48,30.75,28.68,0.76,0.60
DGRP_486,22.05,19.75,0.59,0.76
DGRP_49,29.83,29.05,1.00,0.60
DGRP_491,30.35,30.60,0.52,0.52
DGRP_502,29.48,27.63,0.67,0.16
DGRP_505,20.38,20.50,0.92,0.20
DGRP_508,21.10,22.55,0.24,0.44
DGRP_509,19.85,18.98,0.56,1.00
DGRP_513,21.13,18.68,0.96,0.24
DGRP_517,17.50,18.78,0.55,0.62
DGRP_528,31.55,30.28,0.80,0.48
DGRP_530,21.75,20.28,0.96,0.56
DGRP_531,16.98,18.63,0.44,0.60
DGRP_535,21.25,17.43,0.92,0.24
DGRP_551,26.50,23.85,0.96,0.52
DGRP_555,28.03,29.45,0.76,0.44
DGRP_559,26.00,26.83,0.80,0.32
DGRP_563,24.43,21.88,0.90,0.76
DGRP_566,41.10,41.28,0.72,0.32
DGRP_57,34.10,32.93,1.00,1.00
DGRP_584,41.25,41.35,0.80,0.12
DGRP_589,27.83,25.65,0.96,0.12
DGRP_59,37.58,34.80,0.76,0.40
DGRP_595,22.53,22.55,0.88,0.68
DGRP_596,19.08,18.43,0.48,0.24
DGRP_627,19.60,19.08,0.76,0.16
DGRP_630,16.93,15.63,0.36,0.28
DGRP_634,20.23,19.68,0.36,0.56
DGRP_639,19.33,20.15,0.47,0.70
DGRP_642,29.15,27.85,0.68,0.40
DGRP_646,26.78,26.13,0.08,0.20
DGRP_69,40.48,39.95,0.50,0.40
DGRP_703,27.78,27.58,0.68,0.32
DGRP_705,24.63,25.80,0.32,0.32
DGRP_707,33.48,35.38,0.24,0.86
DGRP_712,26.58,24.90,0.60,0.76
DGRP_714,33.58,33.65,0.71,0.27
DGRP_716,19.26,21.73,0.88,0.48
DGRP_721,36.18,36.85,0.16,0.16
DGRP_727,22.05,20.70,0.96,0.52
DGRP_73,32.75,29.63,0.92,0.44
DGRP_730,26.33,22.20,0.94,0.56
DGRP_732,29.25,30.98,0.66,0.94
DGRP_737,28.18,24.80,0.84,0.60
DGRP_738,34.58,35.73,0.96,0.48
DGRP_748,31.15,28.33,0.68,0.56
DGRP_75,29.48,31.70,0.80,0.84
DGRP_757,29.21,29.39,0.60,0.44
DGRP_761,30.18,29.00,0.44,0.40
DGRP_765,26.90,24.00,0.60,0.80
DGRP_774,41.03,42.10,0.86,0.60
DGRP_776,37.00,35.15,0.80,0.12
DGRP_783,28.63,27.65,1.00,0.54
DGRP_786,25.90,23.45,0.69,0.32
DGRP_787,31.10,27.95,0.44,0.20
DGRP_790,34.05,32.23,0.60,0.04
DGRP_796,23.00,22.60,0.80,0.36
DGRP_799,30.05,31.55,0.84,0.46
DGRP_801,29.73,28.56,0.96,0.80
DGRP_802,34.58,33.45,0.88,0.44
DGRP_804,25.08,24.25,0.76,0.64
DGRP_805,20.40,19.53,0.68,0.92
DGRP_808,33.43,32.48,0.64,0.80
DGRP_810,27.65,26.73,0.60,0.32
DGRP_812,20.40,21.08,0.36,0.68
DGRP_818,27.53,27.55,0.84,0.40
DGRP_819,22.85,22.68,0.88,0.44
DGRP_820,23.55,26.00,0.62,0.31
DGRP_821,16.23,16.43,0.64,0.08
DGRP_822,41.13,40.20,0.80,0.28
DGRP_83,19.05,17.13,0.72,0.76
DGRP_832,40.36,40.18,0.80,0.60
DGRP_837,39.45,39.75,0.92,0.44
DGRP_843,21.38,19.53,0.96,0.44
DGRP_849,21.35,22.53,0.96,0.84
DGRP_85,29.13,32.18,0.44,0.64
DGRP_850,29.03,29.23,0.84,0.40
DGRP_852,40.68,40.80,0.74,0.61
DGRP_853,18.80,19.95,0.88,0.68
DGRP_855,26.75,24.89,1.00,0.64
DGRP_857,23.68,24.23,0.96,0.76
DGRP_859,36.35,36.10,0.48,0.74
DGRP_861,18.43,16.93,0.84,0.76
DGRP_879,25.33,24.80,0.76,0.12
DGRP_88,32.28,31.45,0.76,0.36
DGRP_882,31.10,31.38,0.88,0.32
DGRP_884,35.68,37.35,0.76,0.64
DGRP_887,36.55,34.74,0.96,0.56
DGRP_890,34.28,31.43,0.96,0.24
DGRP_892,31.13,28.55,0.83,0.80
DGRP_894,35.40,35.35,0.80,0.48
DGRP_897,40.95,40.23,0.92,0.76
DGRP_900,33.05,33.50,0.96,0.84
DGRP_907,34.54,34.43,0.84,0.56
DGRP_908,29.55,29.33,0.72,0.80
DGRP_91,28.43,21.48,0.76,0.52
DGRP_911,35.73,36.75,0.76,0.56
DGRP_913,23.15,21.25,0.88,0.44
